# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/en/charter-flights-panama-personalized-experience/,18,16,1.125,7.375,107,2,0
/en/transportation-to-contadora-island-best-options/,17,17,1,29.470588235294116,95,2,0
/en/long-beach-on-contadora-island-choose-your-next-destination/,16,15,1.0666666666666667,43.666666666666664,97,0,0
/en/producto/🚁-robinson-r66-4-passengers/,16,11,1.4545454545454546,31.272727272727273,89,0,0
/producto/catamaran-valpar/,16,15,1.0666666666666667,35.6,107,1,0
/en/producto/eurocopter-b3-as350-5-passengers/,15,11,1.3636363636363635,19.181818181818183,93,0,0
/producto/robinson-r44-3-pasajeros/,15,11,1.3636363636363635,3.3636363636363638,77,1,0
/que-es-un-vuelo-charter-y-como-se-reserva/,15,15,1,38.4,84,0,0
/thank-you/,15,12,1.25,11.166666666666666,35,0,0
/boat-rental-in-san-blas-and-panama-city/,14,1,14,30,26,0,0
/vuelos-privados-a-medellin/,14,13,1.0769230769230769,23.615384615384617,100,4,0
/en/cart/,13,13,1,7.538461538461538,65,0,0
/en/producto/🛩-cessna-206-5-passengers/,13,11,1.1818181818181819,18.454545454545453,80,0,0
/en/the-best-tourist-places-in-costa-rica/,13,13,1,6.153846153846154,73,0,0
/en/producto/🛫-king-air-f90-6-passengers/,12,10,1.2,5.9,73,0,0
/en/whats-to-see-and-do-in-playa-tambor-costa-rica/,12,12,1,3.4166666666666665,67,0,0
/mejores-lugares-turisticos-de-costa-rica/,12,12,1,21.916666666666668,76,0,0
/sky-ride-vuelos-charter/,12,11,1.0909090909090908,8.454545454545455,42,0,0
/vuela-de-panama-a-bocas-del-toro-la-mejor-forma-de-llegar-al-paraiso/,12,12,1,9.25,65,0,0
/en/honeymoon-in-costa-rica/,11,11,1,4.181818181818182,64,0,0
/renta-de-aviones-privados-para-viajes-de-negocios/,11,11,1,11.181818181818182,78,0,0
/vuelos-privados-baratos-skyride/,11,11,1,13.909090909090908,81,0,0
/vuelos-privados-y-charter-tu-solucion-para-viajes-exclusivos-en-panama/,11,9,1.2222222222222223,11.11111111111111,61,0,0
/category/rutas/,10,9,1.1111111111111112,4.888888888888889,67,2,0
/en/producto/✈-piper-cherokee-3-passengers/,10,7,1.4285714285714286,21.714285714285715,65,0,0
/producto/catamaran-zenith/,10,10,1,66,74,1,0
/tips-para-viajar-en-avion-guia-completa/,10,10,1,12.3,55,0,0
/vuelos-a-playa-tambor/,10,8,1.25,9.5,62,0,0
/en/producto/🛫-cessna-172-3-passengers/,9,8,1.125,16.625,54,0,0
/reservar-vuelo-sin-pagar-demasiado/,9,9,1,10.88888888888889,49,0,0
/script/,9,2,4.5,118.5,67,3,0
/como-elegir-asientos-de-avion-privado/,8,8,1,8,48,0,0
/en/producto/✈-daher-kodiak-9-passengers/,8,7,1.1428571428571428,28.142857142857142,56,0,0
/en/producto/🛫-piper-saratoga-5-passengers/,8,7,1.1428571428571428,15.285714285714286,50,0,0
/en/sky-ride-charter-flights//checkout/,8,8,1,4,37,0,0
/playa-larga-contadora/,8,8,1,3.5,50,0,0
/producto/el-catamaran/,8,8,1,21.5,51,0,0
/boats/ti-kay-catamaran/,7,6,1.1666666666666667,19.666666666666668,25,0,0
/en/producto/cessna-grand-caravan-12-passengers/,7,5,1.4,5.8,47,0,0
/en/producto/🛩-king-air-200-hasta-9-passengers/,7,7,1,5.714285714285714,41,0,0
/experimenta-un-tour-de-helicoptero-inolvidable-sobreciudad-de-panama/,7,6,1.1666666666666667,9.833333333333334,47,4,0
/producto/eurocopter-b3-as350-5-pasajeros/,7,5,1.4,7.2,31,0,0
/que-ver-en-san-jose-capital-de-costa-rica/,7,7,1,1.7142857142857142,42,0,0
/vuelos-a-playa-tambor-la-forma-mas-rapida-de-llegar-al-paraiso/,7,7,1,1.7142857142857142,34,0,0
/boats/new-catamaran/,6,6,1,19.666666666666668,19,0,0
/en/our-fleet,6,2,3,21.5,22,0,0
/en/producto/✈-piper-azteca-5-passengers/,6,5,1.2,1.8,33,0,0
/helicopteros-en-panama-la-guia-definitiva/,6,6,1,1.1666666666666667,43,0,0
/vuelos-privados-baratos/,6,6,1,7.333333333333333,35,0,0
/producto/catamaran-nikita/,5,4,1.25,51,29,1,0
/vuelo-privado-costa-rica/,5,3,1.6666666666666667,6.333333333333333,27,0,0
/category/rutas/page/2/,4,4,1,3.5,22,0,0
/luna-de-miel-en-costa-rica/,4,4,1,3.5,17,0,0
/producto/robinson-r66-4-pasajeros/,4,3,1.3333333333333333,8.666666666666666,22,0,0
/tag/reservar-vuelo/,4,4,1,0,12,0,0
/vuelos-a-contadora-descubre-el-paraiso-en-panama/,4,4,1,3,29,0,0
/vuelos-privados-en-panama-la-mejor-opcion-para-tus-viajes-de-negocio-o-turismo/,4,4,1,4.5,28,0,0
/blog/page/2/,3,3,1,3.6666666666666665,21,0,0
/sky-ride-vuelos-charter-demobot/,3,2,1.5,33,14,0,0
/tienda,3,3,1,0,17,0,0
/vuelos-privados-en-costa-rica-la-mejor-experiencia-en-transporte-aereo/,3,3,1,1,20,0,0
/vuelos-privados-en-panama/,3,3,1,1.3333333333333333,16,0,0
/Es-es/,2,1,2,51,4,0,0
/blog,2,1,2,94,9,0,0
/en//checkout/,2,2,1,2.5,11,0,0
/en/blog,2,2,1,3,7,0,0
/en/helicopter-rides,2,2,1,7,5,0,0
/en/sky-ride-charter-flights-2/,2,1,2,10,13,0,0
/nuestra-flota/,2,2,1,5,9,0,0
/sky-ride-vuelos-charter-2/,2,1,2,6,10,0,0
/sky-ride-vuelos-charter-chat-bot/,2,1,2,32,7,0,0
/tour-en-helicoptero-en-panama-descubre-las-10-mejores-rutas/,2,2,1,1.5,11,0,0
/tour/the-romantic-ride,2,2,1,9.5,13,0,0
/category/consejos/,1,1,1,4,6,0,0
/category/rutas/blob:https://www.skyride.city/108a28c6-d5ce-4382-b5f2-e54d5620fa9f,1,1,1,3,6,0,0
/en/about-us/,1,1,1,0,3,0,0
/en/about/,1,1,1,0,3,0,0
/en/apps-for-private-airplane-flights,1,1,1,0,3,0,0
/en/available-seats/blob:https://www.skyride.city/4b6cc423-b710-4a5c-a286-d2fec3ec1547,1,1,1,9,4,0,0
/en/booking/,1,1,1,0,3,0,0
/en/charter-flights,1,1,1,0,3,0,0
/en/contadora-guide,1,1,1,0,3,0,0
/en/helicopter-tours-panama/,1,1,1,32,6,0,0
/en/honeymoon-in-panama-best-places-activities-itinerary,1,1,1,0,3,0,0
/en/honeymoon-in-panama-best-places-activities-itinerary/blob:https://www.skyride.city/2e59e35f-ba8f-468b-9733-7538989f1a5d,1,1,1,10,5,0,0
/en/martin/,1,1,1,0,3,0,0
/en/our-fleet/,1,1,1,8,7,0,0
/en/product/king-air-f90-6-pasajeros,1,1,1,6,2,0,0
/en/producto/robinson-r66-4-passengers/,1,1,1,7,5,0,0
/en/sky-ride-charter-flights/https:/skyride.city/wp-login.php,1,1,1,13,5,0,0
/en/sky-ride/,1,1,1,0,4,0,0
/en/team/,1,1,1,0,3,0,0
/es,1,1,1,0,3,0,0
/helicopteros-en-panama-la-guia-definitiva/blob:https://www.skyride.city/d960f761-972e-4d2f-b055-c66bb46f71f5,1,1,1,9,10,0,0
/martin,1,1,1,0,3,0,0
/paseo-en-helicoptero-en-panama/,1,1,1,0,3,0,0
/producto/eurocopter-b4-ec130-6-pasajeros/,1,1,1,19,4,0,0
/que-hacer-isla-contadora/,1,1,1,10,4,0,0
/render,1,1,1,0,4,0,0
/search-flight,1,1,1,0,3,0,0
/vuelos-charter-en-panama,1,1,1,32,4,0,0
(not set),0,1141,0,0,1312,0,0
/en/helicopter-ride-prices-panama,0,1,0,0,1,0,0
