# ----------------------------------------
# Página de destino: Página de destino
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Página de destino,Sesiones,Usuarios activos,Usuarios nuevos,Tiempo de interacción medio por sesión,Eventos clave,Total de ingresos,Tasa de evento clave de sesión
/en/sky-ride-charter-flights//checkout,8,8,8,4,0,0,0
/en/thank-you,8,6,5,4,0,0,0
/gracias,8,6,2,36.75,10,0,1
/playa-larga-contadora,8,8,8,3.5,0,0,0
/reservar-vuelo-sin-pagar-demasiado,8,8,8,12,0,0,0
/como-elegir-asientos-de-avion-privado,7,7,7,10.142857142857142,0,0,0
/en/producto/🚁-robinson-r44-3-passengers,7,7,7,3.7142857142857144,0,0,0
/en/producto/🛫-king-air-f90-6-passengers,7,7,6,2.142857142857143,0,0,0
/producto/🛫-piper-saratoga-5-pasajeros,7,5,3,1.7142857142857142,0,0,0
/vuelos-a-playa-tambor,7,7,7,9,0,0,0
,6,5,0,1.5,1,0,0.16666666666666666
/en/producto/🚁-robinson-r66-4-passengers,6,5,4,21.333333333333332,0,0,0
/en/producto/🛩-cessna-206-5-passengers,6,6,5,34.5,0,0,0
/helicopteros-en-panama-la-guia-definitiva,6,6,6,1.1666666666666667,0,0,0
/que-ver-en-san-jose-capital-de-costa-rica,6,6,6,1.8333333333333333,0,0,0
/vuelos-charter-en-panama,6,6,6,7.5,0,0,0
/en/producto/eurocopter-b3-as350-5-passengers,5,5,4,15.4,0,0,0
/en/producto/🛫-piper-saratoga-5-passengers,5,5,5,3.2,0,0,0
/vuelos-privados-baratos,5,5,5,1.6,0,0,0
/boats/vip-one-catamaran,4,4,4,37,0,0,0
/category/rutas/page/2,4,4,4,3.5,0,0,0
/experimenta-un-tour-de-helicoptero-inolvidable-sobreciudad-de-panama,4,4,4,21.5,0,0,0
/luna-de-miel-en-costa-rica,4,4,4,3.5,0,0,0
/sky-ride-vuelos-charter,4,4,4,3.75,0,0,0
/sky-ride-vuelos-charter-2-0,4,1,0,683.5,0,0,0
/tag/reservar-vuelo,4,4,4,0,0,0,0
/vuelos-a-contadora-descubre-el-paraiso-en-panama,4,4,4,3,0,0,0
/vuelos-a-playa-tambor-la-forma-mas-rapida-de-llegar-al-paraiso,4,4,4,1.25,0,0,0
/vuelos-privados-y-charter-tu-solucion-para-viajes-exclusivos-en-panama,4,4,4,4,0,0,0
/blog/page/2,3,3,3,3.6666666666666665,0,0,0
/boats/ti-kay-catamaran,3,3,3,27.666666666666668,0,0,0
/categoria-producto/flota-marina,3,3,1,4,0,0,0
/en/producto/cessna-grand-caravan-12-passengers,3,3,3,4.333333333333333,0,0,0
/en/producto/✈-daher-kodiak-9-passengers,3,3,3,4.666666666666667,0,0,0
/en/producto/✈-piper-azteca-5-passengers,3,3,3,5.666666666666667,0,0,0
/en/producto/🚁-eurocopter-b4-ec130-6-passengers,3,3,3,5.666666666666667,0,0,0
/en/producto/🛫-cessna-172-3-passengers,3,3,2,2.6666666666666665,0,0,0
/producto/eurocopter-b3-as350-5-pasajeros,3,3,2,16.333333333333332,0,0,0
/tienda,3,3,3,0,0,0,0
/vuelos-privados-en-costa-rica-la-mejor-experiencia-en-transporte-aereo,3,3,3,1,0,0,0
/boats/new-catamaran,2,2,2,36,0,0,0
/en//checkout,2,2,2,2.5,0,0,0
/en/blog,2,2,1,10.5,0,0,0
/en/producto/✈-piper-cherokee-3-passengers,2,2,2,4.5,0,0,0
/en/producto/🛩-king-air-200-hasta-9-passengers,2,2,2,4,0,0,0
/occasions,2,2,1,523.5,0,0,0
/producto/🛩-cessna-grand-caravan-12-pasajeros,2,2,2,3.5,0,0,0
/san-blas,2,2,2,2,0,0,0
/tour/the-romantic-ride,2,2,2,54,4,0,0.5
/vuelo-privado-costa-rica,2,2,2,8,0,0,0
/vuelos-privados-en-panama,2,2,2,1,0,0,0
/vuelos-privados-en-panama-la-mejor-opcion-para-tus-viajes-de-negocio-o-turismo,2,2,2,0,0,0,0
/category/consejos,1,1,1,4,0,0,0
/category/rutas/blob:https://www.skyride.city/108a28c6-d5ce-4382-b5f2-e54d5620fa9f,1,1,1,3,0,0,0
/en/about,1,1,1,0,0,0,0
/en/about-us,1,1,1,0,0,0,0
/en/apps-for-private-airplane-flights,1,1,1,0,0,0,0
/en/available-seats/blob:https://www.skyride.city/4b6cc423-b710-4a5c-a286-d2fec3ec1547,1,1,1,9,0,0,0
/en/boat-charters,1,1,1,42,1,0,1
/en/booking,1,1,1,0,0,0,0
/en/contadora-guide,1,1,1,0,0,0,0
/en/honeymoon-in-panama-best-places-activities-itinerary/blob:https://www.skyride.city/2e59e35f-ba8f-468b-9733-7538989f1a5d,1,1,1,10,0,0,0
/en/martin,1,1,1,0,0,0,0
/en/our-fleet,1,1,1,0,0,0,0
/en/sky-ride,1,1,1,0,0,0,0
