# ----------------------------------------
# Resumen de adquisiciones
# Cuenta: Sky Ride
# Propiedad: www.skyride.city - GA4
# ----------------------------------------
#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Día N,Usuarios activos
0241,4
0242,2
0243,4
0244,9
0245,10
0246,1
0247,5
0248,9
0249,7
0250,12
0251,8
0252,12
0253,23
0254,11
0255,7
0256,5
0257,8
0258,22
0259,14
0260,3
0261,10
0262,9
0263,9
0264,10
0265,9
0266,15
0267,11
0268,3
0269,3
0270,10
0271,4
0272,7
0273,3
0274,7
0275,9
0276,7
0277,4
0278,7
0279,12
0280,4
0281,6
0282,4
0283,15
0284,5
0285,11
0286,10
0287,7
0288,6
0289,7
0290,18
0291,9
0292,9
0293,9
0294,8
0295,7
0296,7
0297,4
0298,4
0299,7
0300,4
0301,9
0302,9
0303,16
0304,6
0305,5
0306,11
0307,10
0308,18
0309,12
0310,4
0311,8
0312,15
0313,18
0314,0
0315,11
0316,8
0317,4
0318,5
0319,13
0320,8
0321,8
0322,11
0323,18
0324,26
0325,6
0326,4
0327,12
0328,4
0329,15
0330,24
0331,18
0332,8
0333,11
0334,18
0335,14
0336,9
0337,7
0338,17
0339,16
0340,3
0341,6
0342,6
0343,5
0344,2
0345,6
0346,4
0347,10
0348,6
0349,6
0350,13
0351,3
0352,1
0353,23
0354,46
0355,6
0356,12
0357,4
0358,7
0359,15
0360,21
0361,12
0362,8
0363,7
0364,9
0365,10
0366,10

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Usuarios nuevos
Paid Search,5121
Direct,2436
Organic Search,1516
Organic Social,331
Referral,274
Cross-network,84
Unassigned,40

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Grupo de canales principal de la sesión (Grupo de canales predeterminado),Sesiones
Paid Search,5428
Direct,2768
Organic Search,2004
Referral,521
Organic Social,337
Unassigned,240
Cross-network,85

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Campaña de Google Ads de la sesión,Sesiones
SKY RIDE 2025  AEREO,3739
SKY RIDE 2025  MARINO,1697

#  
# Fecha de inicio: 20251226
# Fecha de finalización: 20260424
Cohorte,Valor medio de 120 días
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Página de destino y cadena de consulta,Impresiones de la Búsqueda de Google orgánica
/hipertensos-pueden-viajar-en-avion/,54012
/,21746
/playa-cacique-contadora/,13562
/que-es-un-vuelo-charter-y-como-se-reserva/,10036
/en/what-to-see-in-san-jose-capital-of-costa-rica/,9132
/mejores-lugares-turisticos-de-costa-rica/,8690
/ferry-a-contadora/,6513
/helicoptero-privado-lo-que-debes-saber-sky-ride/,4415
/en/what-to-do-in-contadora-island/,3985
/apps-para-encontrar-viajes-en-avion-privado/,3796
/en/ferry-to-contadora-is-it-really-convenient/,3777
/descubre-las-mejores-islas-de-san-blas-skyride/,3438
/en/helicopter-rides/,3293
/paseo-en-helicoptero/,3150
/renta-de-aviones-privados-para-viajes-de-negocios/,2927
/transporte-a-contadora/,2803
/alquiler-de-yates-de-lujo-en-panama/,2605
/vuelos-charter/,2493
/luna-de-miel-en-panama/,2457
/que-ver-y-hacer-en-playa-tambor-costa-rica/,2114
/en/cacique-beach-in-contadora-a-true-paradise/,1935
/que-hacer-en-isla-contadora/,1931
/en/charter-flights-panama-personalized-experience/,1846
/luna-de-miel-en-costa-rica/,1694
/en/honeymoon-in-panama-best-places-activities-itinerary/,1650
/reservar-vuelo-sin-pagar-demasiado/,1632
/en/sky-ride-charter-flights/,1390
/en/transportation-to-contadora-island-best-options/,1376
/paseo-en-helicoptero-precio-panama/,1156
/vuelos-privados-baratos-skyride/,1113
/asientos-disponibles/,994
/playa-larga-contadora/,988
/alquiler-de-helicopteros-en-panama-todo-lo-que-necesitas-saber/,787
/vuelos-privados-a-medellin/,746
/en/whats-to-see-and-do-in-playa-tambor-costa-rica/,645
/que-ver-en-san-jose-capital-de-costa-rica/,645
/producto/vuelos-charter/,590
/vuelo-privado-a-contadora/,544
/en/honeymoon-in-costa-rica/,476
/como-elegir-asientos-de-avion-privado/,423
/descubre-el-confort-vuelo-privado-panama-costa-rica/,343
/en/long-beach-on-contadora-island-choose-your-next-destination/,312
/tips-para-viajar-en-avion-guia-completa/,309
/en/available-seats/,303
/category/rutas/,298
/vuelo-privado-costa-rica/,260
/en/the-best-tourist-places-in-costa-rica/,194
/en/charter-flights/,188
/vuelos-a-playa-tambor/,172
/en/boat-charters/,163
/blog/,116
/categoria-producto/flota-aerea/,115
/tienda/,102
/vuelos-privados-baratos/,86
/category/consejos/,74
/en/producto/charter-flights/,72
/en/blog-2/,71
/producto/%F0%9F%9B%AB-cessna-172-hasta-3-pasajeros/,67
/gracias/,56
/producto/%F0%9F%9B%AB-king-air-f90-6-pasajeros/,48
/en/our-fleet/,46
/producto/%E2%9C%88-daher-kodiak-hasta-9-pasajeros/,38
/script/,32
/en/category/sin-categoria-en/,28
/en/producto/%F0%9F%9B%AB-king-air-f90-6-passengers/,27
/categoria-producto/flota-marina/,23
/en/producto/%E2%9C%88-daher-kodiak-9-passengers/,23
/en/producto/%F0%9F%9B%AB-cessna-172-3-passengers/,14
/en/thank-you/,12
/paseo-en-bote/,12
/en/producto/%F0%9F%9A%81-robinson-r44-3-passengers/,8
/en/categoria-producto/air-fleet/,7
/wp-content/uploads/2021/11/playa-cacique.jpg,5
/wp-content/uploads/2021/10/isla-contadora.jpg,1
/wp-content/uploads/2024/09/adobestock_98400582-1024x683.webp,1

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Consulta de la Búsqueda de Google orgánica,Clics de la Búsqueda de Google orgánica
sky ride panama,100
skyride,39
sky ride,38
playa cacique colon,17
helicopter tour panama,15
playa cacique,15
ferry contadora,12
vuelos charter panama,12
contadora ferry,8
luna de miel panama,6
luna de miel en panama,5
panama canal helicopter tour,5
como llegar a isla contadora,4
ferry to contadora island,4
playa cacique contadora,4
vuelos privados panama,4
charter panama,3
helicopter panama,3
helicopter ride in panama city,3
helicopter tour panama canal,3
panama helicopter tours,3
playa cacique panama,3
things to do in contadora island,3
un hipertenso puede viajar en avión,3
una persona hipertensa puede viajar en avión,3
cacique colon,2
contadora island things to do,2
ferry isla contadora,2
ferry panama city to contadora,2
ferry to contadora island from panama city,2
helicopter ride panama city panama,2
isla cacique,2
panama helicopter tour,2
paseos en helicóptero precios,2
tour en helicoptero panama,2
vuelos privados baratos,2
vuelos privados compartidos,2
30 minute helicopter ride,1
alquilar un jet privado precio,1
alquiler de aviones privados,1
alquiler de avioneta,1
alquiler de helicoptero en panama,1
avion privado precio,1
cacique playa,1
cirrus sr22 rental near me,1
como ir a isla contadora,1
como llegar a contadora,1
como llegar a isla contadora desde ciudad de panamá,1
contadora ferry tickets,1
contadora island,1
costa rica lugares para visitar,1
cuanto cuesta alquilar un avion privado,1
cuánto cuesta alquilar un avión privado,1
cómo hacer una reserva de vuelo sin pagar,1
en el avión sube o baja la presión,1
ferry a contadora,1
ferry contadora panama,1
ferry panama,1
ferry panama contadora,1
ferry to contadora,1
gracias,1
helicopter panama city,1
helicopter ride,1
helicopter ride near me,1
helicopter tour,1
helicopter.rides near me,1
helicoptero malaga,1
helicoptero panama,1
helicopteros panama,1
helicóptero panama,1
helicópteros personales,1
hipertenso puede viajar en avion,1
hipertensos pueden viajar en avión,1
is contadora island worth visiting,1
isla contadora como llegar,1
isla contadora ferry,1
las personas hipertensas pueden viajar en avion,1
lugares turisticos de costa rica,1
lugares turisticos de costa rica con su nombre,1
lugares turisticos de costa rica con sus nombres,1
lugares turísticos de la provincia de colón,1
"lugares turísticos en costa rica, san josé",1
panama city helicopter ride,1
panama helicopter,1
panama luna de miel,1
paseo en avioneta precio,1
playa cacique colon panama,1
playa cacique colón como llegar,1
playa tambor costa rica,1
private helicopter ride,1
private helicopter tour,1
private jet panama,1
private jet panama city,1
puede un hipertenso viajar en avión,1
puedo viajar en avion si soy hipertenso,1
que hacer en isla contadora,1
rand airport helicopter rides price,1
reserva vuelos sin pagar,1
santa catalina panama,1
se puede viajar en avion con hipertension,1
si sufro de la presion puedo viajar en avion,1
si tengo hipertension puedo viajar en avion,1
si tengo la presión alta puedo viajar en avión,1
sky rider,1
viajar en avión aumenta la presión arterial,1
viajar en avión sube la presión arterial,1
viaje a contadora,1
vuelo charter,1
vuelo chárter precio,1
vuelo privado,1
vuelos charter,1
vuelos privados,1
vuelos privados precios,1

#  
# Fecha de inicio: 20250424
# Fecha de finalización: 20260425
Fuente manual de la sesión,Sesiones
google,7079
facebook.com,179
l.wl.co,116
tiktok.com,85
chatgpt.com,74
skyride.city,73
linktr.ee,66
bing,60
loyal.vc,47
localhost:8080,45
ycinpanama.com,45
m.facebook.com,31
tagassistant.google.com,26
ig,19
catamaranadventures.net,18
pt.catamaranadventures.net,12
vector.lightning.force.com,10
es.catamaranadventures.net,9
l.facebook.com,9
l.instagram.com,9
duckduckgo,5
oceanride.city,5
yahoo,5
mx.search.yahoo.com,4
perplexity,4
es.search.yahoo.com,3
gemini.google.com,3
ca.search.yahoo.com,2
ecosia.org,2
instagram.com,2
perplexity.ai,2
blackle.com,1
co.search.yahoo.com,1
copilot.com,1
entireweb.com,1
espanol.search.yahoo.com,1
fi.co,1
googleads.g.doubleclick.net,1
googleadservices.com,1
iconfinder.com,1
iconlet.com,1
linkedin.com,1
lm.facebook.com,1
login.microsoftonline.com,1
lusha.com,1
openurls.com.cn,1
pa.search.yahoo.com,1
pipefy.lightning.force.com,1
rts.pitchbook.com,1
search.brave.com,1
sify.com,1
sites.google.com,1
stinkyteddy.com,1
terra.com,1
toristy.bokun.io,1
tourmanager.vapues.com,1
tourpty.bokun.io,1
